,Profit,Recency,Frequency,Monetary,Variance,SegmentId
468,154,12,14,2645.32,9,0
469,376,6,14,21975.86,31,1
470,171,40,7,4858.63,9,0
471,870,33,10,4833.89,3,0
472,134,6,7,5241.53,14,0
473,183,5,12,4466.03,10,0
474,70,12,3,1661.71,4,0
475,12,5,1,107.4,1,0
476,432,4,21,23142.45,20,1
477,851,2,26,30530.76,13,1
478,336,75,1,6340.32,1,0
479,61,34,2,3290.22,8,0
480,5505,41,10,87831.89,15,1
481,380,6,13,16528.76,21,1
482,271,11,6,2905.96,6,0
483,92,10,2,871.2,3,0
484,171,19,4,7700.66,14,0
485,578,3,37,17547.96,27,1
486,370,7,12,21693.72,32,1
487,1557,3,11,79169.46,24,1
488,212,9,11,3593.68,17,0
489,47,7,5,776.72,4,0
490,155,4,19,4336.95,10,1
491,57,27,5,2288.13,10,0
492,36,14,3,322.2,2,0
493,30,10,1,203.1,1,0
494,10,33,2,381.8,2,0
495,360,9,8,31131.89,20,1
496,419,12,7,17589.11,16,0
497,96,2,7,5026.9,15,1
498,213,5,8,4177.31,14,0
499,63,21,3,1901.06,7,0
500,648,3,26,23444.79,40,1
501,903,4,26,47556.92,47,1
502,69,18,3,1050.7,7,0
503,346,4,22,9771.68,23,1
504,13,10,1,325.86,2,0
505,1559,2,16,76179.43,55,1
506,197,33,3,3230.55,4,0
507,132,6,11,4366.29,10,0
508,43,5,9,494.82,7,0
509,327,11,11,9974.5,16,1
510,292,7,19,10002.14,22,1
511,80,55,3,3372.32,5,0
512,9,4,3,284.41,4,0
513,885,5,17,57228.6,45,1
514,90,41,6,1678.71,6,0
515,76,5,8,878.37,6,0
516,1466,3,16,66393.86,58,1
517,191,77,1,33337.59,19,0
518,609,7,18,26350.22,28,1
519,849,11,6,22226.01,16,0
520,183,13,6,2669.25,5,0
521,1227,4,20,55441.15,53,1
522,257,3,9,11715.4,19,1
523,130,19,6,2640.09,5,0
524,437,7,22,7043.44,14,1
525,61,12,10,1216.07,6,0
526,373,40,2,8154.03,6,0
527,323,4,14,12431.73,16,1
528,173,13,9,4463.7,7,0
529,738,4,13,41817.35,32,1
530,85,7,9,1401.02,8,0
531,209,5,17,6589.21,14,1
532,278,4,14,9236.72,27,1
533,181,11,8,2517.43,4,0
534,997,6,15,54749.65,48,1
535,240,47,4,3199.9,5,0
536,110,66,2,2644.88,5,0
537,484,4,10,15494.56,19,1
538,335,10,8,2635.55,6,0
539,520,7,18,12967.55,25,1
540,210,4,1,6576.8,2,0
541,588,12,6,8729.42,5,0
542,618,5,18,8798.27,13,1
543,404,2,16,7054.33,12,1
544,747,6,3,22024.01,9,0
545,1049,1,3,110299.82,18,1
546,12,5,1,264.2,2,0
547,371,5,1,57359.56,47,1
548,36,47,1,617.98,2,0
549,92,3,11,1157.63,6,0
550,262,19,13,6926.8,15,1
551,571,3,11,26524.78,17,1
552,373,4,11,10900.52,13,1
553,80,7,6,2849.74,10,0
554,1068,4,11,11399.2,9,1
555,60,5,7,1128.76,7,0
556,8,52,1,58.58,1,0
557,28,7,11,483.04,5,0
558,12,4,1,99.98,1,0
559,188,5,20,2713.91,9,1
560,140,13,4,5017.42,12,0
561,30,55,1,119.23,1,0
562,320,54,2,8055.23,3,0
563,92,5,11,1935.21,5,0
564,110,7,9,2622.74,10,0
565,120,42,1,436.74,1,0
566,694,5,19,28333.53,25,1
567,994,6,9,65287.82,36,1
568,23,80,2,145.87,2,0
569,22,46,4,476.8,3,0
570,372,19,9,10103.49,13,0
571,21,19,2,119.98,2,0
572,28,25,2,355.99,2,0
573,852,5,15,39359.08,38,1
574,895,4,15,126093.42,49,1
575,185,6,14,3414.97,8,0
576,72,9,2,3528.72,7,0
577,725,3,15,32153.13,36,1
578,180,5,5,25266.34,25,1
579,965,5,18,34462.52,38,1
580,2,21,2,15.78,1,0
581,385,32,7,19272.65,12,0
582,91,7,9,2187.29,12,0
583,8,28,1,362.24,2,0
584,2580,4,4,54926.53,4,1
585,898,11,5,28946.64,11,0
586,26,3,2,212.14,2,0
587,64,39,4,648.89,2,0
588,401,18,6,8114.24,12,0
589,194,2,5,12489.9,13,1
590,148,12,14,1836.72,10,0
591,107,6,8,4001.15,7,0
